angle,dist,x,y,sample
-119.885,7,-3.4878253874475265,-6.069190561077853,0
-108.26618942731278,1195,-374.55140710199754,-1134.784668312854,0
-107.91410425844347,1182,-363.5723946684015,-1124.6951203926708,0
-107.56201908957416,1175,-354.54210529285047,-1120.2343038733072,0
-107.20993392070486,1155,-341.73409046910996,-1103.2872751061939,0
-106.85784875183555,1149,-333.20794125523366,-1099.6242394038288,0
-106.50576358296624,1149,-326.4444516498621,-1101.6510427476665,0
-106.15367841409692,1149,-319.66863502385854,-1103.63624613456,0
-105.80159324522761,1154,-314.24228226044244,-1110.3908267091133,0
-105.4495080763583,1154,-307.41298998872327,-1112.3008826689804,0
-105.09742290748899,1154,-300.5720893522392,-1114.1689365183493,0
-104.74533773861968,1154,-293.7198386734184,-1115.9949177167703,0
-104.39325256975037,1152,-286.35934506254887,-1115.8415324298285,0
-104.04116740088106,1149,-278.76922762635803,-1114.6697796785395,0
-103.68908223201176,1149,-271.91431091692357,-1116.3617726877674,0
-103.33699706314243,1149,-265.0491263248404,-1118.0116102413422,0
-102.98491189427313,1163,-261.319655511861,-1133.2612398044691,0
-102.63282672540382,1169,-255.66303766611534,-1140.7004037745119,0
-102.28074155653451,1176,-250.13751262278782,-1149.0897374787073,0
-101.9286563876652,1181,-244.10509342343622,-1155.4971671816143,0
-101.57657121879589,1189,-238.60536540041187,-1164.8126371232997,0
-101.22448604992658,1189,-231.4430788156526,-1166.256876193376,0
-100.87240088105727,1189,-224.27205260124666,-1167.65707569561,0
-100.52031571218797,1188,-216.90997339295902,-1168.029992527018,0
-100.16823054331866,1188,-209.7283257623527,-1169.3408525203079,0
-99.81614537444935,1188,-202.53875848297977,-1170.6075564902924,0
-99.46406020558004,1188,-195.34154304343159,-1171.8300566043742,0
-99.11197503671073,1191,-188.6120445322687,-1175.970448887793,0
-98.75988986784142,1193,-181.68672500069204,-1179.0839384702526,0
-98.4078046989721,1193,-174.4378158381557,-1180.1781426571217,0
-98.05571953010279,1195,-167.46259176831194,-1183.2080461010394,0
-97.70363436123348,1209,-162.06529512527834,-1198.0884108094679,0
-97.35154919236417,1209,-154.69997381852642,-1199.0616823585628,0
-96.99946402349487,1231,-150.00973210277203,-1221.8257159981756,0
-96.64737885462556,1254,-145.16121911539096,-1245.5698376505966,0
-96.29529368575625,1262,-138.381664609337,-1254.3900967800841,0
-95.94320851688693,1273,-131.80978530504967,-1266.1576444099828,0
-95.59112334801762,1278,-124.51389289913082,-1271.9199229806504,0
-95.23903817914831,1287,-117.51738534575632,-1281.623448654673,0
-94.886953010279,1295,-110.32110208484724,-1290.2923135610724,0
-94.53486784140969,1307,-103.33895330551329,-1302.9083086425235,0
-94.18278267254038,1312,-95.6953143221541,-1308.5054095481548,0
-93.83069750367108,1327,-88.65486020640125,-1324.0352396223386,0
-93.47861233480177,1345,-81.60914786130199,-1342.5218608966306,0
-93.12652716593246,1355,-73.90321225752646,-1352.9831171223161,0
-92.77444199706315,1358,-65.73293917514894,-1356.4081910352045,0
-92.42235682819384,1363,-57.60788811514735,-1361.7820424821707,0
-92.07027165932453,1420,-51.297776671767856,-1419.0731264133408,0
-91.71818649045522,1461,-43.805918361144265,-1460.3431245828963,0
-91.36610132158592,1469,-35.02199854224911,-1468.5824660597398,0
-91.0140161527166,1476,-26.120767081936496,-1475.768852336656,0
-90.66193098384728,1476,-17.0516643143944,-1475.9015010305088,0
-90.30984581497798,1513,-8.18200637263731,-1512.9778764977757,0
-89.95776064610867,1539,1.1345750123806388,-1538.9995817866686,0
-89.60567547723936,1851,12.738964996598984,-1850.9561633844319,0
-89.25359030837005,1861,24.24313201240745,-1860.8420864087927,0
-88.90150513950074,1866,35.77341739088004,-1865.6570592175235,0
-88.54941997063143,1876,47.49036415210428,-1875.3988016719807,0
-88.19733480176211,1903,59.8631516512163,-1902.0582018104449,0
-87.8452496328928,1915,72.00136540864229,-1913.6459451474536,0
-87.4931644640235,1920,83.97806613871411,-1918.1625802855194,0
-87.14107929515419,1935,96.5117557582491,-1932.591648797143,0
-83.6202276064611,1910,212.23554635712816,-1898.1717711689032,0
-83.26814243759178,1895,222.13747346162918,-1881.9351590541273,0
-82.91605726872247,1883,232.21790321215826,-1868.62619199982,0
-82.56397209985316,1871,242.1432096962025,-1855.264850634006,0
-82.21188693098385,1866,252.86170280736317,-1848.787970334446,0
-81.85980176211454,1866,264.2177431869397,-1847.1992269880366,0
-81.50771659324523,1864,275.2684538991917,-1843.5626591705388,0
-81.15563142437591,1850,284.4394469169959,-1828.0027902160198,0
-80.8035462555066,1850,295.6671660130982,-1826.220393857703,0
-70.59307635829663,3514,1167.614732353641,-3314.343349261017,0
-70.24099118942732,3511,1186.9451551567809,-3304.282402980993,0
-69.88890602055801,3493,1201.038435109162,-3280.0237312236836,0
-69.5368208516887,3468,1212.4313926276482,-3249.158986287218,0
-69.1847356828194,3446,1224.5567730210853,-3221.083157828774,0
-68.83265051395009,3441,1242.5217642119371,-3208.834783135407,0
-68.48056534508078,3424,1255.9807303213909,-3185.323908970852,0
-68.12848017621145,3417,1272.9231677300054,-3171.0496068425373,0
-67.77639500734215,3415,1291.6288109111576,-3161.316183937353,0
-67.42430983847284,3412,1309.8790226184653,-3150.549308629226,0
-67.07222466960353,3405,1326.4874446951105,-3135.993631859962,0
-66.72013950073422,3399,1343.3617658765772,-3122.271635521318,0
-66.36805433186491,3398,1362.1219226653611,-3113.0415782309137,0
-66.01596916299559,3398,1381.2258663789503,-3104.612553289978,0
-65.66388399412628,3154,1299.727992201688,-2873.7472307576686,0
-65.31179882525697,3154,1317.3626485731693,-2865.706134994355,0
-64.95971365638766,3154,1334.9475594015219,-2857.5568259700317,0
-64.60762848751835,3183,1364.9176915231724,-2875.4979908473338,0
-64.25554331864905,3205,1392.1177539965656,-2886.8725567658084,0
-63.90345814977974,3229,1420.3885604215654,-2899.8167765263297,0
-63.55137298091043,3263,1453.3245733408041,-2921.4750870962034,0
-63.19928781204112,3293,1484.7762767622116,-2939.26664458401,0
-61.79094713656388,3469,1639.7616340025886,-3056.982627306403,0
-61.43886196769457,3469,1658.5158530421593,-3046.848562893771,0
-61.08677679882526,3469,1677.2074440939173,-3036.599445016736,0
-60.73469162995595,3493,1707.5682054674778,-3047.1724309064916,0
-60.38260646108664,3517,1738.1217997539047,-3057.486158467483,0
-36.440814977973574,7,5.63129607469671,-4.157944747000064,0
-35.73664464023496,7,5.681971019145786,-4.088423331504138,0
-35.38455947136565,5424,4422.099740651462,-3140.8294897574874,0
-35.032474302496325,5384,4408.5635938844625,-3090.6347307109118,0
-34.68038913362702,5368,4414.314906837673,-3054.38175467159,0
-34.32830396475771,5337,4407.400343686675,-3009.716134533384,0
-33.9762187958884,5333,4422.494776362801,-2980.3404089203877,0
-33.62413362701909,5310,4421.573662754014,-2940.3718038438706,0
-33.27204845814978,5310,4439.55878484563,-2913.14568737988,0
-32.919963289280474,5292,4442.266512651948,-2876.027160958516,0
-32.567878120411166,5265,4437.101479221162,-2834.1410450246435,0
-32.21579295154186,5225,4420.591669304185,-2785.4971357512527,0
-31.86370778267255,5218,4431.679960372581,-2754.5846744712862,0
-31.511622613803226,5208,4439.997886917412,-2722.073247392311,0
-31.159537444933918,5198,4448.083916238944,-2689.5638074037997,0
-30.80745227606461,5178,4447.349455163269,-2651.9364290380295,0
-30.4553671071953,5178,4463.561653258204,-2624.557366026296,0
-30.103281938325992,5178,4479.605300727407,-2597.079195884276,0
-29.751196769456683,5443,4725.549730868433,-2701.0051353318986,0
-29.399111600587375,5464,4760.35385374793,-2682.224298433528,0
-29.047026431718066,5478,4788.985362215289,-2659.718631827003,0
