angle,dist,x,y,sample
-119.885,550,-274.04342329944853,-476.86497265611706,0
-119.5329148311307,550,-271.1079106736512,-478.53996778761075,0
-119.18082966226139,551,-268.6497281808158,-481.0699778081914,0
-118.82874449339208,557,-268.58163707257825,-487.96813853715275,0
-118.47665932452277,557,-265.5779985397989,-489.60936131940383,0
-118.12457415565346,557,-262.5643313928073,-491.23209573504874,0
-117.77248898678414,556,-259.0747875839156,-491.9514756948586,0
-117.42040381791483,556,-256.0468509136164,-493.53420361431915,0
-117.06831864904552,552,-251.18903513963642,-491.53643672226224,0
-116.71623348017621,548,-246.36550938573768,-489.49773828395365,0
-116.3641483113069,548,-243.35289090891985,-491.002413931206,0
-116.0120631424376,552,-242.08532455277262,-496.08335553229233,0
-115.65997797356829,552,-239.03231822640413,-497.56160507349347,0
-115.30789280469898,556,-237.6802152960391,-502.6371606405842,0
-114.95580763582967,556,-234.587018964601,-504.08821701494065,0
-114.60372246696036,557,-231.90130414755052,-506.42944734154753,0
-114.25163729809105,558,-229.19565820591527,-508.7566709730274,0
-113.89955212922173,558,-226.0650176367074,-510.1554741457894,0
-113.54746696035242,558,-222.9258405213199,-511.5350131006313,0
-113.19538179148311,558,-219.77824539967864,-512.8952357441416,0
-112.8432966226138,558,-216.6223511295854,-514.2360907123211,0
-112.4912114537445,558,-213.45827688223048,-515.5575273725223,0
-112.13912628487519,559,-210.66299902324306,-517.7857673232561,0
-111.78704111600588,559,-207.47722450601515,-519.0705167039258,0
-111.43495594713657,557,-203.55272584456193,-518.4739991564173,0
-111.08287077826726,559,-201.08229213526147,-521.5811651024501,0
-110.73078560939794,559,-197.87337576374853,-522.8069693145438,0
-110.37870044052863,559,-194.6569874037449,-524.0130315697295,0
-110.02661527165932,562,-192.4606183596812,-528.0179072537305,0
-109.67453010279002,562,-189.21231094758784,-529.1906096917002,0
-109.3224449339207,562,-185.95685860149706,-530.343329117151,0
-108.9703597650514,562,-182.6943842520574,-531.4760220017095,0
-108.61827459618209,562,-179.4250110950791,-532.588645573233,0
-108.26618942731278,577,-180.85034468439545,-547.9253168339052,0
-107.91410425844347,590,-181.47860647576724,-561.3960414819592,0
-107.56201908957416,596,-179.83582532301182,-568.220974560418,0
-107.20993392070486,598,-176.93245549829243,-571.2257926523844,0
-106.85784875183555,770,-223.2986203364055,-736.9109350225832,0
-106.50576358296624,1118,-317.6369860265847,-1071.9285167901576,0
-106.15367841409692,1126,-313.26969803034353,-1081.544310833346,0
-105.80159324522761,1131,-307.97922117552895,-1088.2599870086717,0
-105.4495080763583,1135,-302.35159760589335,-1093.9874365938413,0
-105.09742290748899,1136,-295.88378986494257,-1096.7902182710961,0
-104.74533773861968,1138,-289.64746656009544,-1100.5218512666245,0
-104.39325256975037,1140,-283.3764352181473,-1104.2181831336845,0
-104.04116740088106,1145,-277.79875163810266,-1110.7892930652113,0
-103.68908223201176,1147,-271.44100489269914,-1114.418584223559,0
-103.33699706314243,1153,-265.97183868802523,-1121.9037307295628,0
-102.98491189427313,1153,-259.07271092448474,-1123.5169471148347,0
-102.63282672540382,1151,-251.7263955121461,-1123.1361546145963,0
-102.28074155653451,1153,-245.24536739292037,-1126.6160436334605,0
-101.9286563876652,1156,-238.93775444326187,-1131.0370239305216,0
-101.57657121879589,1158,-232.38436764817234,-1134.443258022524,0
-101.22448604992658,1160,-225.79812567380742,-1137.811586530123,0
-100.87240088105727,1160,-218.80200253780163,-1139.1776348249855,0
-100.52031571218797,1158,-211.43244881232874,-1138.5342856450227,0
-100.16823054331866,1158,-204.43215591986905,-1139.8120431132295,0
-99.81614537444935,1160,-197.76511771065364,-1143.0174794012958,0
-99.46406020558004,1166,-191.72410706114582,-1150.1295000005896,0
-99.11197503671073,1169,-185.12802691706307,-1154.2480728378086,0
-98.75988986784142,1172,-178.48855129992546,-1158.328898480416,0
-98.4078046989721,1172,-171.3672423824966,-1159.4038417385973,0
-98.05571953010279,1177,-164.940142687283,-1165.3856654903125,0
-97.70363436123348,1179,-158.0438237822193,-1168.3591698464538,0
-97.35154919236417,1183,-151.37309266113874,-1173.275409619669,0
-96.99946402349487,1192,-145.25718981844375,-1183.1163716245535,0
-96.64737885462556,1203,-139.25753317050666,-1194.9126911432757,0
-96.29529368575625,1211,-132.78937863859517,-1203.6976285266894,0
-95.94320851688693,1216,-125.90785461974895,-1209.4640185408791,0
-95.59112334801762,1223,-119.15531378375353,-1217.1815851371953,0
-95.23903817914831,1227,-112.03871936227118,-1221.8741037290472,0
-94.886953010279,1235,-105.20969967164967,-1230.5104303072776,0
-94.53486784140969,1248,-98.67407324045952,-1244.0930139142074,0
-94.18278267254038,1254,-91.46488121949791,-1250.6598960163003,0
-93.83069750367108,1283,-85.7152868461287,-1280.1335436589754,0
-93.47861233480177,1303,-79.06075811396022,-1300.5992451660297,0
