dist,angle,x,y
980.3462623308108,-2032.9707833449079,-64.25554331864905,2257
994.140026804812,-2029.6023273302897,-63.90345814977974,2260
1009.265548020307,-2028.8270142077833,-63.55137298091043,2266
1021.7136480847772,-2022.586764842808,-63.19928781204112,2266
1235.8365117151668,-2409.558489912973,-62.84720264317181,2708
1250.6199314496157,-2401.9187719531565,-62.495117474302496,2708
1265.3561259436904,-2394.18835402246,-62.14303230543319,2708
1275.7903286748303,-2378.436469040064,-61.79094713656388,2699
1282.2541129602396,-2355.6205954687503,-61.43886196769457,2682
1292.3538478129262,-2339.818482712521,-61.08677679882526,2673
1299.3748325601362,-2318.747300701247,-60.73469162995595,2658
1303.7149012655107,-2293.3319550859314,-60.38260646108664,2638
1302.2971299656929,-2258.4222778929366,-60.03052129221733,2607
1057.1612107671097,-1807.55253712013,-59.67843612334802,2094
1068.2486733666944,-1801.0221464075053,-59.32635095447871,2094
1079.295797331727,-1794.4237464607047,-58.974265785609404,2094
1235.5716517417493,-2025.954514151827,-58.62218061674009,2373
1295.856151215437,-2095.7225091497953,-58.27009544787078,2464
1367.6655954890314,-2181.7689655221593,-57.91801027900147,2575
1381.5830868624214,-2174.167466892949,-57.56592511013216,2576
1394.917275364777,-2165.6365795970723,-57.213839941262854,2576
1407.6521287268379,-2156.1865606878273,-56.86175477239354,2575
1414.8055735354183,-2138.3220499010704,-56.50966960352423,2564
1327.6749504023653,-1980.0846512394555,-56.15758443465492,2384
1337.5695005464108,-1968.5801561551982,-55.80549926578561,2380
1347.3728801292302,-1957.0289527475732,-55.453414096916305,2376
1359.3733969059256,-1948.7123871378365,-55.101328928046996,2376
1366.7053340020952,-1933.7891637948076,-54.74924375917769,2368
1366.919411253511,-1909.092801080753,-54.39715859030838,2348
1036.3173377838752,-1428.7306868015894,-54.04507342143906,1765
1045.0773310962757,-1422.3355342635173,-53.69298825256975,1765
1053.7978607579464,-1415.8866722524003,-53.34090308370044,1765
1397.7763758202946,-1854.1588937301688,-52.98881791483113,2322
1410.9644029626322,-1847.918952111348,-52.63673274596182,2325
1422.904976419074,-1840.004735885708,-52.284647577092514,2326
1434.1849524896252,-1831.2262345358458,-51.932562408223205,2326
1444.7893568585994,-1821.5951016370557,-51.5804772393539,2325
1455.9557924089324,-1812.6824682086153,-51.22839207048459,2325
220.21783650695667,-270.7491541707846,-50.87630690161528,349
221.24168205829946,-268.618908716446,-50.52422173274597,348
222.2476866191467,-266.486333218868,-50.17213656387665,347
223.23586039380328,-264.35156635480405,-49.82005139500734,346
221.60672227292088,-259.17457561159915,-49.46796622613803,341
222.54063641384647,-257.05187247814433,-49.11588105726872,340
224.11602018023385,-255.67950543321422,-48.763795888399414,340
226.34671435331498,-255.0454173308331,-48.411710719530106,341
231.25148098499756,-257.3689036038451,-48.0596255506608,346
232.82864844267377,-255.94300237427439,-47.70754038179149,346
234.39702394956456,-254.5074363620585,-47.35545521292218,346
233.2287269140972,-250.13668451874364,-47.00337004405287,342
234.76141500468339,-248.69876964914567,-46.65128487518355,342
236.2852381603878,-247.25146354974083,-46.29919970631424,342
238.4954608828063,-246.5135191795732,-45.94711453744493,343
244.20413708502377,-249.32978047268827,-45.595029368575624,349
245.7316595210025,-247.82443686822756,-45.242944199706315,349
247.24990276959863,-246.30973505004633,-44.89085903083701,349
245.9077056659156,-241.9801650840941,-44.5387738619677,345
246.67295994297953,-239.76749327831996,-44.18668869309839,344
247.42033336644457,-237.55458033226265,-43.83460352422908,343
249.60102075636686,-236.71782872732612,-43.48251835535977,344
251.78074001278725,-235.86322086881887,-43.130433186490464,345
254.6933404407727,-235.6699012074318,-42.77834801762114,347
256.13672478235014,-234.10035928586396,-42.42626284875183,347
259.05499285904375,-233.8621616995806,-42.074177679882524,349
258.9944230327699,-230.93481512739183,-41.722092511013216,347
258.1572575981981,-227.35617508521202,-41.37000734214391,344
259.5494886351792,-225.76550433849934,-41.0179221732746,344
263.2074877617708,-226.12124709132772,-40.66583700440529,347
264.5920348058252,-224.49956596241555,-40.31375183553598,347
266.7330647912145,-223.5116823503545,-39.96166666666667,348
270.41272938607585,-223.7810442954741,-39.609581497797365,351
275.65430911316565,-225.27916429919418,-39.257496328928056,356
1729.1244894070194,-1395.4972232623445,-38.90541116005873,2222
1737.6671821545917,-1384.8453935594837,-38.553325991189425,2222
1746.1442580442335,-1374.1412700662015,-38.201240822320116,2222
1740.3420769216882,-1352.340731951791,-37.84915565345081,2204
1745.4458230815785,-1339.18590146666,-37.4970704845815,2200
1752.0479540583863,-1327.2271722202734,-37.14498531571219,2198
1760.1706940683268,-1316.4357666605022,-36.79290014684288,2198
1768.226967454767,-1305.5946505580202,-36.440814977973574,2198
1860.2594694915172,-1355.9641242183138,-36.088729809104265,2302
5.681971019145786,-4.088423331504138,-35.73664464023496,7
1876.7834813753068,-1332.9995363978126,-35.38455947136565,2302
318.52363261906686,-223.30180353761975,-35.032474302496325,389
319.88980975407134,-221.34025755723704,-34.68038913362702,389
321.24390738132223,-219.3703534445356,-34.32830396475771,389
1365.807031064979,-920.4238990234162,-33.9762187958884,1647
1307.9316096155183,-812.9667302962401,-31.86370778267255,1540
1312.9026009702025,-804.9141322934253,-31.511622613803226,1540
1317.8240151996868,-796.8311395540308,-31.159537444933918,1540
1330.4257060733687,-793.327448547684,-30.80745227606461,1549
1340.4477348042694,-788.1781970202569,-30.4553671071953,1555
1356.5123815257966,-786.4465390395027,-30.103281938325992,1568
1392.574273068706,-795.9603595576641,-29.751196769456683,1604
1420.090919035345,-800.1510992764734,-29.399111600587375,1630
1429.3521480872575,-793.8371601017068,-29.047026431718066,1635
1434.2032955949041,-785.0387932482803,-28.694941262848758,1635
1439.0002854854552,-776.2107821801872,-28.34285609397945,1635
1443.7429366175465,-767.3534602560561,-27.99077092511014,1635
1448.4310699017253,-758.4671619413352,-27.638685756240818,1635
1399.741040112451,-722.045719206834,-27.28660058737151,1575
1399.6939637209027,-711.1658090229507,-26.9345154185022,1570
1395.9890316836802,-698.5238889392836,-26.582430249632893,1561
1393.9759375250965,-686.8384712587294,-26.230345080763584,1554
1392.77190457878,-675.6407490789743,-25.878259911894276,1548
1396.8974250023077,-667.0693997043501,-25.526174743024967,1548
1400.9701965330548,-658.4728608121474,-25.17408957415566,1548
1419.5119265180526,-656.5682679455402,-24.82200440528635,1564
1423.5197415447008,-647.8329610574848,-24.46991923641704,1564
1427.4738023809023,-639.0731910479493,-24.11783406754772,1564
1428.6283574910103,-629.0802938993861,-23.76574889867841,1561
1427.878787161556,-618.3026517604821,-23.4136637298091,1556
1431.6513017452382,-609.5166529399872,-23.061578560939793,1556
1439.9821257571245,-602.637932344117,-22.709493392070485,1561
1539.840373544774,-633.337685600258,-22.357408223201176,1665
2058.2708861285887,-831.817864268035,-22.005323054331868,2220
165.43169252073494,-34.54497227853875,-11.794853157121878,169
165.64084813774323,-33.52774117367714,-11.44276798825257,169
165.84374891371442,-32.509244012201286,-11.090682819383261,169
208.28734960713268,-39.50164545479187,-10.738597650513952,212
220.32952212486327,-40.38442373278815,-10.386512481644644,224
257.99224763943374,-45.650850572066,-10.034427312775335,262
279.9545190126697,-47.764707519095566,-9.682342143906027,284
285.17659890960033,-46.854107977347354,-9.330256975036718,289
285.45913337728194,-45.10081120657556,-8.978171806167396,289
286.71957668544695,-43.49579686956104,-8.626086637298087,290
286.9814451760855,-41.733081897284166,-8.274001468428779,290
287.23247682701725,-39.96879102270911,-7.92191629955947,290
293.4203724104832,-38.99339757565809,-7.569831130690162,296
301.5910537897267,-38.19471526274523,-7.217745961820853,304
297.8487496516038,-35.86254774798154,-6.8656607929515445,300
298.0635016477784,-34.03158805381847,-6.513575624082236,300
302.24389164062296,-32.62866785407224,-6.1614904552129275,304
302.43868843945717,-30.77076104065293,-5.809405286343619,304
298.64019543793313,-28.53127527456641,-5.4573201174743105,300
302.7940135290117,-27.05153176795469,-5.105234948604988,304
307.9373331455925,-25.60466471525061,-4.753149779735679,309
333.015143064773,-25.63034314145623,-4.401064610866371,334
333.1663541271086,-23.583478913214755,-4.048979441997062,334
333.3049843399292,-21.53572413826719,-3.6968942731277536,334
343.4139933925571,-20.070603931540727,-3.344809104258445,344
343.5308434818995,-17.959943669584366,-2.9927239353891366,344
337.64109248278703,-15.572176053142735,-2.640638766519828,338
347.72243262496477,-13.896396992633136,-2.2885535976505196,348
347.80126082438125,-11.759377915974817,-1.936468428781211,348
357.8631324220683,-9.898406592234906,-1.5843832599118883,358
365.9153512333034,-7.871196339070483,-1.2322980910425798,366
365.9568110382874,-5.622495414601588,-0.8802129221732713,366
360.984664185479,-3.3274949882675124,-0.5281277533039628,361
360.99829600988454,-1.1091789574965143,-0.17604258443465426,361
336.998409294546,1.0354385281892668,0.17604258443465426,337
333.98581118545707,3.078624171970496,0.5281277533039628,334
321.96200315390314,4.946567004103037,0.8802129221732713,322
315.9269152724696,6.795896292749379,1.2322980910425798,316
309.88148338223795,8.571245931823523,1.5843832599118883,310
309.8229622286155,10.47530791365565,1.9364684287811968,310
307.7543369209458,12.299109981985648,2.2885535976505196,308
307.67294817958106,14.190030249609356,2.640638766519828,308
297.5935795279246,15.5583232951632,2.9927239353891366,298
297.49235474122673,17.386744103485864,3.344809104258445,298
297.37989620748175,19.2145083628851,3.6968942731277536,298
297.25620817328854,21.041547054305383,4.048979441997062,298
292.13603867658225,22.484103414511004,4.401064610866371,293
289.9992360691502,24.11313084834281,4.753149779735679,291
261.95666302016474,23.403134391355536,5.105234948604988,263
261.8079046672547,25.012417990703156,5.457320117474296,263
258.6646677442726,26.317098258453097,5.809405286343605,260
258.49806521895385,27.906097506772312,6.1614904552129275,260
238.45080131822274,27.22527044305477,6.513575624082236,240
238.27899972128301,28.69003819838523,6.8656607929515445,240
238.09820036031053,30.153722575851496,7.217745961820853,240
