angle,dist,x,y,sample
-119.885,541,-269.55907637273026,-469.061727649017,0
-119.5329148311307,541,-266.67159940808233,-470.7093137692681,0
-119.18082966226139,540,-263.2864849684946,-471.4660399572112,0
-118.82874449339208,540,-260.38435191955523,-473.07503556564177,0
-118.47665932452277,540,-257.47238637610667,-474.6661671678242,0
-118.12457415565346,538,-253.6079179341657,-474.47552514444567,0
-117.77248898678414,538,-250.6874743168104,-476.02498907164374,0
-117.42040381791483,536,-246.8365325354288,-475.7811747073293,0
-117.06831864904552,533,-242.54303574171414,-474.6176100959525,0
-116.71623348017621,533,-239.62192792444924,-476.09907756450235,0
-116.3641483113069,532,-236.2476970137689,-476.6665770281051,0
-116.0120631424376,532,-233.31411714144028,-478.10932091155706,0
-115.65997797356829,532,-230.37172698631704,-479.53401068677266,0
-115.30789280469898,530,-226.565672854138,-479.1325452149454,0
-114.95580763582967,525,-221.50752690002793,-475.9825790159062,0
-114.60372246696036,525,-218.5784285053214,-477.3347573686041,0
-114.25163729809105,521,-213.99809664029004,-475.0219096361062,0
-113.89955212922173,519,-210.26477446855046,-474.49944638291163,0
-113.54746696035242,519,-207.34500220531368,-475.7825659484366,0
-113.19538179148311,516,-203.2357968212082,-474.29021799995894,0
-112.8432966226138,515,-199.9292308812482,-474.6085783456011,0
-112.4912114537445,509,-194.71373285493783,-470.2845545387345,0
-112.13912628487519,509,-191.82015474567214,-471.4721924285104,0
-111.78704111600588,509,-188.91933322640733,-472.6420268377429,0
-111.43495594713657,509,-186.01137783641298,-473.7940135917709,0
-111.08287077826726,509,-183.09639838434364,-474.9281091898875,0
-110.73078560939794,509,-180.17450494409303,-476.0442708069818,0
-110.37870044052863,509,-177.24580785063714,-477.1424562951562,0
-110.02661527165932,508,-173.9679610795695,-477.283090542518,0
-109.67453010279002,509,-171.36844532441674,-479.28473368874626,0
-109.3224449339207,508,-168.0891177394315,-479.38507329450664,0
-108.9703597650514,508,-165.1401195730341,-480.4089309196947,0
-108.61827459618209,510,-162.8234086450006,-483.3099808582719,0
-108.26618942731278,510,-159.85039131549686,-484.3014065602975,0
-107.91410425844347,510,-156.87133780108695,-485.274544331863,0
-107.56201908957416,510,-153.88636059519467,-486.22935742586105,0
-107.20993392070486,510,-150.89557241493168,-487.1658097871505,0
-106.85784875183555,514,-149.0590790297564,-491.91197480728283,0
-106.50576358296624,514,-146.03346226982515,-492.818656198695,0
-106.15367841409692,515,-143.2805457243578,-494.66724696196553,0
-105.80159324522761,518,-141.05502791239965,-498.4249984708152,0
-105.4495080763583,518,-137.9895397003108,-499.2823719432685,0
-105.09742290748899,518,-134.91884080109176,-500.1208917820667,0
-104.74533773861968,518,-131.8430471688308,-500.94052632347234,0
-104.39325256975037,527,-130.99945733330142,-510.45875658899274,0
-104.04116740088106,536,-130.043782426221,-519.9852061859854,0
-103.68908223201176,541,-128.02927955270292,-525.6324795683918,0
-103.33699706314243,564,-130.10244320906006,-548.7889888390922,0
-102.98491189427313,564,-126.72767472802202,-549.5781076953745,0
-102.63282672540382,858,-187.64660933920186,-837.2292099559719,0
-102.28074155653451,1124,-239.07701036395707,-1098.2796470459755,0
-101.9286563876652,1149,-237.49089952881306,-1124.1881838202157,0
-101.57657121879589,1168,-234.3911411166367,-1144.239831926,0
-101.22448604992658,1168,-227.35535412673022,-1145.6585629889514,0
-100.87240088105727,1173,-221.25409394555285,-1151.9442807325067,0
-100.52031571218797,1170,-213.62345864458086,-1150.3325683978208,0
-100.16823054331866,1170,-206.55062385686253,-1151.6235668760607,0
-99.81614537444935,1173,-199.98145092637648,-1155.8271580497585,0
-99.46406020558004,1174,-193.03953832743156,-1158.0206114928749,0
-99.11197503671073,1182,-187.18676459877548,-1167.0840223218902,0
-98.75988986784142,1187,-180.7729610861873,-1173.153927044585,0
-98.4078046989721,1188,-173.70672692014162,-1175.2318805336636,0
-98.05571953010279,1190,-166.7619114680261,-1178.257384820282,0
-97.70363436123348,1195,-160.18860849851745,-1184.214765026728,0
-97.35154919236417,1199,-153.42040414260808,-1189.143885151296,0
-96.99946402349487,1200,-146.2320702870239,-1191.056749957604,0
-96.64737885462556,1216,-140.76239429371248,-1207.8252971157299,0
-96.29529368575625,1224,-134.21486329780387,-1216.6192380814764,0
-95.94320851688693,1230,-127.35745163017368,-1223.3887687543431,0
-95.59112334801762,1230,-119.83731476207427,-1224.1482826809076,0
-95.23903817914831,1243,-113.49969695786722,-1237.8072623758806,0
-94.886953010279,1251,-106.57274031516903,-1246.4522658416229,0
-94.53486784140969,1255,-99.2275335871608,-1251.0710997294314,0
-94.18278267254038,1269,-92.55895874604693,-1265.6199426193662,0
-93.83069750367108,1271,-84.91358502059984,-1268.1603538507854,0
-93.47861233480177,1315,-79.78886947034357,-1312.5771353747728,0
-93.12652716593246,1328,-72.43060212398166,-1326.0233059324248,0
-92.77444199706315,1356,-65.63613072275551,-1354.4105353783045,0
-92.42235682819384,1369,-57.861481166277855,-1367.776680967052,0
-92.07027165932453,1381,-49.8888940730362,-1380.09858280058,0
-91.71818649045522,1416,-42.4566600954006,-1415.363356885271,0
-91.36610132158592,1438,-34.28293662610906,-1437.5912771912224,0
-91.0140161527166,1443,-25.5367661918932,-1442.7740202722186,0
-90.66193098384728,1443,-16.670427917121355,-1442.9037032432414,0
-90.30984581497798,1453,-7.857538175440855,-1452.9787538342816,0
-89.95776064610867,1455,1.0726488908471927,-1454.9996046131273,0
-89.60567547723936,1503,10.343956990755414,-1502.9644049523506,0
-89.25359030837005,1917,24.972640552275703,-1916.8373345758494,0
