dist,angle,x,y,sample
-349.18450090022293,-3566.9491423807913,-95.59112334801762,3584,0
-327.2589814135126,-3569.0275368907132,-95.23903817914831,3584,0
-303.87287346459465,-3554.0329594381046,-94.886953010279,3567,0
-282.0275795262172,-3555.833157557675,-94.53486784140969,3567,0
-260.1716358133565,-3557.499082209046,-94.18278267254038,3567,0
-240.37693068774053,-3589.961410822287,-93.83069750367108,3598,0
-218.79746259320072,-3599.3560077273237,-93.47861233480177,3606,0
-201.31125936718095,-3685.506040810678,-93.12652716593246,3691,0
-178.85361579688907,-3690.6688261230347,-92.77444199706315,3695,0
-156.34011602195895,-3695.6946259292367,-92.42235682819384,3699,0
-0.12387897667585059,-6.998903771244304,-91.0140161527166,7,0
-0.03785462300625326,-6.999897644074309,-90.30984581497798,7,0
0.09118856748353152,-6.99940602088208,-89.25359030837005,7,0
111.35933470421466,-4397.590260423796,-88.54941997063143,4399,0
110.54078555038049,-3512.260914956334,-88.19733480176211,3514,0
130.20403572330457,-3460.551388013385,-87.8452496328928,3463,0
149.62966888569844,-3417.726139144147,-87.4931644640235,3421,0
167.9354427069895,-3362.8093444444344,-87.14107929515419,3367,0
186.86034606144182,-3330.762556993488,-86.78899412628488,3336,0
204.838472668205,-3289.6287328686435,-86.43690895741557,3296,0
223.06928905859786,-3259.375567847144,-86.08482378854626,3267,0
240.86169448743053,-3228.0264317580554,-85.73273861967695,3237,0
257.149829422853,-3182.6283108820294,-85.38065345080764,3193,0
274.7957483502466,-3159.070796403371,-85.02856828193833,3171,0
291.605251820256,-3129.4433014692636,-84.67648311306903,3143,0
308.8522759378301,-3107.6903435908835,-84.32439794419972,3123,0
326.26307818743624,-3089.8222285127763,-83.97231277533041,3107,0
342.2437082617564,-3060.926206911111,-83.6202276064611,3080,0
358.11608518484286,-3033.9376838577095,-83.26814243759178,3055,0
373.66980708063704,-3006.870611661952,-82.91605726872247,3030,0
386.5749691943115,-2961.879267153274,-82.56397209985316,2987,0
403.9553783862538,-2953.503183047687,-82.21188693098385,2981,0
419.1235368881787,-2930.1766944719125,-81.85980176211454,2960,0
436.2355218981825,-2921.6116390503066,-81.50771659324523,2954,0
448.0305666573654,-2879.3514219943145,-81.15563142437591,2914,0
463.3184401470117,-2861.7367144829623,-80.8035462555066,2899,0
479.89978528728375,-2852.918715295131,-80.4514610866373,2893,0
491.9198546754898,-2818.3924241624063,-80.09937591776799,2861,0
504.4238753433156,-2788.7474883867903,-79.74729074889868,2834,0
519.8949212426953,-2776.7488670864805,-79.39520558002937,2825,0
532.5766317953733,-2750.920960563116,-79.04312041116006,2802,0
545.1568136726984,-2726.0234864186755,-78.69103524229075,2780,0
560.4831025295756,-2715.766501704228,-78.33895007342144,2773,0
571.3331177989409,-2684.8842560725298,-77.98686490455214,2745,0
584.8229685608992,-2667.647483353754,-77.63477973568283,2731,0
595.0406949537928,-2636.6902683760386,-77.28269456681352,2703,0
607.1615827197188,-2615.450212194697,-76.93060939794421,2685,0
619.9725032419957,-2598.052173306736,-76.5785242290749,2671,0
633.7830781681255,-2585.4521867224184,-76.22643906020559,2662,0
640.3848668578562,-2544.6577809794867,-75.87435389133628,2624,0
653.0096707843086,-2529.0556280679493,-75.52226872246696,2612,0
663.163479514999,-2504.6946319736385,-75.17018355359765,2591,0
674.0902901990544,-2484.165509916631,-74.81809838472834,2574,0
685.5934376444372,-2466.4877129754536,-74.46601321585904,2560,0
698.273548046473,-2453.571896663839,-74.11392804698973,2551,0
707.4653381089312,-2429.07241460077,-73.7618428781204,2530,0
717.2391942523421,-2407.4284907818655,-73.4097577092511,2512,0
727.0653642432371,-2386.7134214475454,-73.05767254038179,2495,0
737.8533438876283,-2369.7882696379957,-72.70558737151248,2482,0
748.1577708324019,-2351.8681829437405,-72.35350220264317,2468,0
762.5958909717459,-2347.2263433834005,-72.00141703377386,2468,0
777.0052143732848,-2342.495869118391,-71.64933186490455,2468,0
848.9454819348151,-2233.072450392612,-69.1847356828194,2389,0
862.6516985476076,-2227.8135126156603,-68.83265051395009,2389,0
880.7271417937089,-2233.6339677099927,-68.48056534508078,2401,0
894.4362088732054,-2228.179720816193,-68.12848017621145,2401,0
907.3550563326112,-2220.7899049094317,-67.77639500734215,2399,0
920.9846938047182,-2215.1722718058363,-67.42430983847284,2399,0
887.0519564084484,-2097.109397869349,-67.07222466960353,2277,0
895.1792879407025,-2080.595838321796,-66.72013950073422,2265,0
907.1459420222815,-2073.2233936246494,-66.36805433186491,2263,0
649.5582502865104,-1460.0267393047043,-66.01596916299559,1598,0
658.5178603482236,-1456.0076330852107,-65.66388399412628,1598,0
667.4526038110097,-1451.9335458849016,-65.31179882525697,1598,0
678.0551649211282,-1451.4286731781835,-64.95971365638766,1602,0
966.9775037338214,-2037.1498489980327,-64.60762848751835,2255,0
985.5585596936684,-2043.7796665527674,-64.25554331864905,2269,0
998.0989915133268,-2037.6848144745252,-63.90345814977974,2269,0
1012.3833144969806,-2035.0943527335796,-63.55137298091043,2273,0
1030.2805321596275,-2039.5457889081272,-63.19928781204112,2285,0
1239.9437970199808,-2417.5666237420783,-62.84720264317181,2717,0
1254.776349242469,-2409.9015152868265,-62.495117474302496,2717,0
1269.561519272159,-2402.145405420614,-62.14303230543319,2717,0
1280.9899187509413,-2388.129985586726,-61.79094713656388,2710,0
1285.600786633141,-2361.7687476567744,-61.43886196769457,2689,0
1296.2217231524337,-2346.821306454272,-61.08677679882526,2681,0
1301.330249915381,-2322.236762402829,-60.73469162995595,2662,0
1307.6685476681353,-2300.286714616139,-60.38260646108664,2646,0
1309.7902089643446,-2271.4166523342074,-60.03052129221733,2622,0
1066.753408954586,-1823.9534436173994,-59.67843612334802,2113,0
1077.9414741279013,-1817.3637991208493,-59.32635095447871,2113,0
1089.088834652311,-1810.7055283053814,-58.974265785609404,2113,0
1232.9682559310838,-2021.685752006543,-58.62218061674009,2368,0
1296.907982507008,-2097.4235826150143,-58.27009544787078,2466,0
1376.1637118105166,-2195.3255882205494,-57.91801027900147,2591,0
1389.628019433437,-2186.8276035402296,-57.56592511013216,2591,0
1403.0398526669787,-2178.2470410465894,-57.213839941262854,2591,0
1412.0254168937563,-2162.885392721032,-56.86175477239354,2583,0
1415.9091660264755,-2139.99000781831,-56.50966960352423,2566,0
1336.028609905736,-1992.5432375517844,-56.15758443465492,2399,0
1340.9415244973682,-1973.542963271556,-55.80549926578561,2386,0
1351.3424130252338,-1962.7946104366445,-55.453414096916305,2383,0
1363.378284859773,-1954.453543160549,-55.101328928046996,2383,0
1374.7855175646077,-1945.2220389185943,-54.74924375917769,2382,0
1373.90537076588,-1918.8496637779288,-54.39715859030838,2360,0
1039.840229583707,-1433.5875616575722,-54.04507342143906,1771,0
1048.6300019102007,-1427.1706692241864,-53.69298825256975,1771,0
1057.3801764319112,-1420.6998847359778,-53.34090308370044,1771,0
1406.8059389715884,-1866.1366643615006,-52.98881791483113,2337,0
1418.246799881149,-1857.4565983157938,-52.63673274596182,2337,0
1434.5280179289462,-1855.034869153906,-52.284647577092514,2345,0
1445.9001348186462,-1846.184660355356,-51.932562408223205,2345,0
1452.246334184321,-1830.9968828067954,-51.5804772393539,2337,0
1462.8441854052758,-1821.258600316269,-51.22839207048459,2336,0
227.15879983525616,-279.28279513318756,-50.87630690161528,360,0
226.96344969773824,-275.5659494591127,-50.52422173274597,357,0
226.09058609959303,-271.09416606991476,-50.17213656387665,353,0
225.81662178563914,-267.4076538271139,-49.82005139500734,350,0
227.45558004551998,-266.0149603051604,-49.46796622613803,350,0
229.08594924954784,-264.612221668678,-49.11588105726872,350,0
230.70766783259367,-263.1994908871323,-48.763795888399414,350,0
231.65690120031357,-261.02888753214296,-48.411710719530106,349,0
233.25655162937616,-259.6004258894276,-48.0596255506608,349,0
234.84739394940217,-258.16216135439817,-47.70754038179149,349,0
236.42936808785558,-256.71414823803013,-47.35545521292218,349,0
238.00241430707578,-255.25644121941968,-47.00337004405287,349,0
240.25291009251225,-254.51628472865784,-46.65128487518355,350,0
243.19416325279678,-254.4810385073356,-46.29919970631424,352,0
245.44868131670736,-253.70050224603307,-45.94711453744493,353,0
251.20139029662903,-256.473900257006,-45.595029368575624,359,0
252.77268128378194,-254.9254235979762,-45.242944199706315,359,0
254.33442720425762,-253.36732058156628,-44.89085903083701,359,0
