angle,dist,x,y,sample
-119.5329148311307,765,-377.0864575733512,-665.6055915591313,0
-119.18082966226139,728,-354.94918714271125,-635.6060686830551,0
-118.82874449339208,719,-346.6969426484448,-629.8906492068453,0
-118.47665932452277,714,-340.4357108750744,-627.6141543663454,0
-118.12457415565346,647,-304.98944777584614,-570.6053248484318,0
-117.77248898678414,378,-176.1335786092088,-334.4562190875118,0
-117.42040381791483,344,-158.41747610482744,-305.35209720022624,0
-117.06831864904552,341,-155.17293656271016,-303.64841471429605,0
-116.71623348017621,341,-153.3040852199572,-304.5962203555259,0
-116.3641483113069,341,-151.4294448904045,-305.53252399733805,0
-116.0120631424376,341,-149.54908636321642,-306.45729028353566,0
-115.65997797356829,341,-147.66308064348516,-307.37048429358924,0
-115.30789280469898,344,-147.0539461543839,-310.9841425546061,0
-114.95580763582967,344,-145.14017000687542,-311.8819184408985,0
-114.60372246696036,344,-143.22091315396298,-312.76791720914247,0
-114.25163729809105,344,-141.2962480695965,-313.6421054027266,0
-113.89955212922173,344,-139.36624743194866,-314.5044500110243,0
-113.54746696035242,344,-137.43098412067033,-315.3549184706401,0
-113.19538179148311,348,-137.06600250732646,-319.8701470232281,0
-112.8432966226138,348,-135.09781038189197,-320.70637915392075,0
-112.4912114537445,348,-133.124516765262,-321.53050094200313,0
-112.13912628487519,357,-134.5379081418565,-330.6789247484838,0
-111.78704111600588,358,-132.8745015619918,-332.42798744187024,0
-111.43495594713657,367,-134.11822331230562,-341.6157229630254,0
-111.08287077826726,370,-133.09561375679203,-345.2326137529634,0
-110.73078560939794,372,-131.67959889823695,-347.91447689626176,0
-110.37870044052863,375,-130.58384664830828,-351.52931455929973,0
-110.02661527165932,382,-130.8184274259755,-358.90185154968873,0
-109.67453010279002,393,-132.313946979363,-370.0567786634131,0
-109.3224449339207,409,-135.33159282564466,-385.96160428632527,0
-108.9703597650514,420,-136.53316972573685,-397.18848619344834,0
-108.61827459618209,438,-139.83657448335344,-415.0779835606335,0
-107.91410425844347,978,-300.8238595479667,-930.5853026599256,0
-107.20993392070486,7,-2.0711156998127875,-6.686589546098144,0
-106.50576358296624,978,-277.86133482468676,-937.697754401408,0
-106.15367841409692,978,-272.0939295503339,-939.3875097646646,0
-105.80159324522761,959,-261.14241654052364,-922.759794466239,0
-105.4495080763583,953,-253.8687863598382,-918.5639005056659,0
-105.09742290748899,943,-245.61480091781763,-910.451739286658,0
-104.74533773861968,935,-237.9792453723104,-904.2073206803989,0
-104.39325256975037,933,-231.92124040222055,-903.7154077751997,0
-104.04116740088106,930,-225.63566726937597,-902.2131375988179,0
-103.68908223201176,919,-217.48411813111642,-892.8950993037931,0
-103.33699706314243,915,-211.0704530785283,-890.3225616804422,0
-102.98491189427313,915,-205.59542974492933,-891.6027811015384,0
-102.63282672540382,916,-200.3313451686584,-893.8251239156997,0
-102.28074155653451,916,-194.83500132863404,-895.0392853150476,0
-101.9286563876652,923,-190.77815514803694,-903.0684888303387,0
-101.57657121879589,929,-186.4292552203386,-910.101715632923,0
-101.22448604992658,930,-181.02780765227664,-912.2110133388055,0
-100.87240088105727,931,-175.60746927818388,-914.2882569155702,0
-100.52031571218797,943,-172.1768559844784,-927.1483863240555,0
-100.16823054331866,944,-166.65281104348566,-929.1732026760696,0
-99.81614537444935,951,-162.13329908864796,-937.0772611298553,0
-99.46406020558004,951,-156.3718917797167,-938.0558786454209,0
-99.11197503671073,951,-150.60457963911634,-938.9990737970538,0
-98.75988986784142,951,-144.83158044900097,-939.9068109683238,0
-98.4078046989721,951,-139.053112206275,-940.7790558817459,0
-98.05571953010279,937,-131.30748827356342,-927.7539240139531,0
-97.70363436123348,898,-120.37604220223321,-889.8952794928884,0
-97.35154919236417,720,-92.12901666611994,-714.0813989232137,0
-96.99946402349487,710,-86.52064158648915,-704.7085770582491,0
-96.64737885462556,705,-81.60977629693033,-700.2605546600244,0
-96.29529368575625,705,-77.3051295955488,-700.7488258557523,0
-95.94320851688693,698,-72.27276523403353,-694.2482606427086,0
-95.59112334801762,689,-67.12838200899932,-685.7220868025572,0
-95.23903817914831,681,-62.18285891255638,-678.1550649058526,0
-94.886953010279,681,-58.01441738979225,-678.5243749305716,0
-94.53486784140969,678,-53.60658786621118,-675.8774546745454,0
-94.18278267254038,673,-49.08761169116594,-671.207424257552,0
-93.83069750367108,672,-44.89530222961691,-670.4986292586372,0
-93.47861233480177,671,-40.71356001110307,-669.7636941722225,0
-93.12652716593246,671,-36.59708887439133,-670.0012336450732,0
-92.77444199706315,670,-32.430831551803976,-669.2146450615516,0
-92.42235682819384,671,-28.36015621809528,-670.4004038925433,0
-92.07027165932453,671,-24.240005737152273,-670.5620195939097,0
-91.71818649045522,670,-20.08895640107232,-669.6987634979744,0
-91.36610132158592,673,-16.044795792330596,-672.8087131778113,0
-91.0140161527166,675,-11.945472750885592,-674.8942922271293,0
-90.66193098384728,676,-7.809569835047842,-675.9548880058428,0
-90.30984581497798,688,-3.7205686611860345,-687.989939874732,0
-89.95776064610867,689,0.5079416397207669,-688.9998127686905,0
-89.60567547723936,696,4.790016011687138,-695.9835168641624,0
-89.25359030837005,704,9.170964501200883,-703.9402626715691,0
-88.90150513950074,706,13.534851381544108,-705.8702485571123,0
-88.54941997063143,712,18.02406144792017,-711.7718266473615,0
-88.19733480176211,715,22.49193559149745,-714.6461451888955,0
-87.8452496328928,732,27.522192939491465,-731.4824187195488,0
-86.43690895741557,5420,336.8399641570604,-5409.522976986665,0
-86.08482378854626,5420,370.07515968705246,-5407.350957371142,0
-85.73273861967695,5420,403.29638063697047,-5404.97474826341,0
-85.38065345080764,5427,437.06612097645575,-5409.3717015837055,0
-85.02856828193833,5427,470.29849457483067,-5406.583794412202,0
