angle,dist,x,y,sample
-119.885,303,-150.97301319951436,-262.7092485723699,0
-119.5329148311307,303,-149.3558126074842,-263.6320186175383,0
-119.18082966226139,303,-147.73297212121088,-264.5448335315463,0
-118.82874449339208,301,-145.14016653293726,-263.69552908381144,0
-118.47665932452277,303,-144.47061679992652,-266.34046046639025,0
-118.12457415565346,307,-144.71678588436595,-270.75090375342904,0
-117.77248898678414,307,-143.05028738896058,-271.6350774070532,0
-117.42040381791483,307,-141.3783871051803,-272.5089937222949,0
-117.06831864904552,307,-139.70114816642823,-273.3726196987944,0
-116.71623348017621,311,-139.81692229738033,-277.79889891662333,0
-116.3641483113069,311,-138.10720633699648,-278.65282980402384,0
-116.0120631424376,312,-136.83083561678453,-280.3949400834696,0
-115.65997797356829,313,-135.53825290736322,-282.13185215218016,0
-115.30789280469898,314,-134.22947410603646,-283.86343244809973,0
-114.95580763582967,316,-133.32643523887396,-286.49618089338355,0
-114.60372246696036,324,-134.8941158775698,-294.58373597605276,0
-114.25163729809105,325,-133.49209483319436,-296.31884958106434,0
-113.89955212922173,331,-134.09949970922966,-302.61910742339836,0
-113.54746696035242,365,-145.82066629082755,-334.6062361679757,0
-113.19538179148311,468,-184.33014130295626,-430.170197720893,0
-112.8432966226138,471,-182.84789853411243,-434.059495923841,0
-112.4912114537445,471,-180.17714769091498,-435.1749021370215,0
-112.13912628487519,472,-177.87644998026963,-437.2001470063987,0
-111.78704111600588,472,-175.18649367949757,-438.28494433676747,0
-111.43495594713657,476,-173.95170108081055,-443.0765235160766,0
-111.08287077826726,476,-171.22570850873785,-444.1370922875962,0
-110.73078560939794,482,-170.61711470147907,-450.79241361289826,0
-110.37870044052863,482,-167.8437708919589,-451.8323456468866,0
-110.02661527165932,482,-165.06408905581202,-452.85521582971194,0
-109.67453010279002,489,-164.63491112699367,-460.4523276498957,0
-109.3224449339207,489,-161.80232002870474,-461.45531661616883,0
-108.9703597650514,493,-160.26393493997205,-466.22362784135726,0
-108.61827459618209,494,-157.71522327574567,-468.14731479213003,0
-108.26618942731278,494,-154.83547707814793,-469.1076369427195,0
-107.91410425844347,739,-227.30964438235932,-703.1723299240132,0
-107.56201908957416,775,-233.84692051230562,-738.877945107926,0
-107.20993392070486,776,-229.5979690078176,-741.25621253888,0
-106.85784875183555,780,-226.19860241869648,-746.4812069059934,0
-106.50576358296624,787,-223.59598211352608,-754.5686428567568,0
-106.15367841409692,787,-218.9549310389701,-755.9283948719745,0
-105.80159324522761,787,-214.3056119055184,-757.2596019238061,0
-105.4495080763583,789,-210.18097842383247,-760.4899449097276,0
-105.09742290748899,790,-205.7642552757963,-762.7326341850052,0
-104.74533773861968,805,-204.89122195156136,-778.4886557729637,0
-104.39325256975037,808,-200.84926285637107,-782.6388526070325,0
-104.04116740088106,813,-197.2492446129061,-788.7089041589666,0
-103.68908223201176,815,-192.87220487144708,-791.8492991649525,0
-103.33699706314243,813,-187.5412878173153,-791.0734892308191,0
-102.98491189427313,823,-184.92353954106758,-801.9552883569029,0
-102.63282672540382,826,-180.64813439881206,-806.0038781161221,0
-102.28074155653451,827,-175.90452630871218,-808.0758613051794,0
-101.9286563876652,826,-170.72887990496048,-808.1631330160994,0
-101.57657121879589,827,-165.9601658420022,-810.1766618174676,0
-101.22448604992658,837,-162.92502688704897,-820.9899120049249,0
-98.4078046989721,739,-108.05494208247868,-731.057541847119,0
-98.05571953010279,731,-102.43945990178747,-723.7866792467446,0
-97.70363436123348,731,-97.98985172587135,-724.4025047987767,0
-97.35154919236417,734,-93.9204142124056,-727.9663150133872,0
-96.99946402349487,739,-90.05458328509222,-733.492448515558,0
-96.64737885462556,756,-87.51346224181465,-750.9177011673453,0
-96.29529368575625,775,-84.9808162220572,-770.326723458451,0
-95.94320851688693,789,-81.69514580179434,-784.759137030225,0
-95.59112334801762,789,-76.87125312786715,-785.2463374270212,0
-94.886953010279,912,-77.69331668060283,-908.6846254576819,0
-94.53486784140969,912,-72.10797659879734,-909.1448947834593,0
-94.18278267254038,7,-0.5105695123895417,-6.981355081430704,0
-93.83069750367108,937,-62.59955087671286,-934.9065708561652,0
-93.47861233480177,937,-56.85336174426763,-935.2735937993629,0
-93.12652716593246,937,-51.10502574561055,-935.6052994417787,0
-92.77444199706315,937,-45.35475994632884,-935.9016752577221,0
-92.42235682819384,7,-0.29585855965226077,-6.993744899028023,0
-90.30984581497798,5399,-29.196729944394477,-5398.921054336742,0
-89.95776064610867,5383,3.9684322882683425,-5382.998537204443,0
-89.60567547723936,5383,37.04691981452854,-5382.872516206589,0
-89.25359030837005,5396,70.29335859159086,-5395.542126954243,0
-88.90150513950074,5396,103.44767429860057,-5395.008302003085,0
-88.54941997063143,5396,136.59808366991186,-5394.270753636464,0
-81.85980176211454,7,0.9911705264247469,-6.929471912602495,0
-80.8035462555066,7,1.1187406281576688,-6.91002311189401,0
-77.98686490455214,4989,1038.3901365023373,-4879.740456665155,0
-77.63477973568283,4989,1068.3565690773803,-4873.267409173152,0
-77.28269456681352,4989,1098.282658943571,-4866.610339965985,0
-76.93060939794421,4992,1128.845668877779,-4862.6917911642195,0
-76.5785242290749,5019,1164.9726670803357,-4881.925817231939,0
-76.22643906020559,5033,1198.283332990299,-4888.272297435737,0
-75.87435389133628,5039,1229.7634695490615,-4886.635121324556,0
-75.52226872246696,5082,1270.5188158215376,-4920.62048309392,0
-75.17018355359765,5101,1305.5951018934813,-4931.087347625446,0
-74.81809838472834,5118,1340.3240502093086,-4939.3780418622055,0
-74.46601321585904,5118,1370.6512554157148,-4931.048482425145,0
-74.11392804698973,5118,1400.9267028231477,-4922.532719374963,0
-73.7618428781204,5130,1434.5048160074375,-4925.352366364407,0
-73.4097577092511,5145,1469.0269324953426,-4930.819898516202,0
-71.64933186490455,7,2.203823541577388,-6.644032043690736,0
-70.94516152716594,5304,1731.6126450058637,-5013.375474433947,0
-54.74924375917769,7,4.040091781256193,-5.716437561893434,0
-54.39715859030838,4817,2804.2805809234083,-3916.5673010246956,0
-54.04507342143906,1535,901.2731521236535,-1242.5504839889177,0
-53.69298825256975,1535,908.8916165624834,-1236.988694104532,0
-53.34090308370044,1535,916.4757599226333,-1231.3801937152602,0
-52.98881791483113,1535,924.0252958157416,-1225.7251946062916,0
-52.63673274596182,1547,938.8223360787923,-1229.5615565231205,0
-52.284647577092514,1552,949.4189696484966,-1227.7245701180648,0
-51.932562408223205,1552,956.9454197179269,-1221.8672037831611,0
-51.5804772393539,1563,971.2712966752648,-1224.5819973585883,0
-51.22839207048459,1576,986.9188511124632,-1228.7258365147432,0
-50.87630690161528,1582,998.2367259427091,-1227.292727501952,0
-50.52422173274597,1583,1006.3953525812875,-1221.9072772934885,0
-50.17213656387665,1604,1027.335127772655,-1231.8273155131537,0
-49.82005139500734,1609,1038.111269865981,-1229.3111857366464,0
-49.46796622613803,1620,1052.7943990678352,-1231.269244841028,0
-49.11588105726872,1631,1067.540523502893,-1233.0929529760394,0
-48.763795888399414,1643,1083.0077092827182,-1235.533610078738,0
-48.411710719530106,1650,1095.2260371934597,-1234.0907290201603,0
-48.0596255506608,1665,1112.8142076301183,-1238.4948684982721,0
-47.70754038179149,1675,1127.1329079233485,-1239.030430569103,0
-47.35545521292218,1689,1144.2097498578455,-1242.3787861720139,0
-41.722092511013216,7,5.224671358009767,-4.6586273945007,0
-39.96166666666667,1658,1270.8144293788323,-1064.891865910597,0
-39.609581497797365,1654,1274.2525766511949,-1054.5123853695561,0
-39.257496328928056,1654,1280.708503576337,-1046.6621846934472,0
-38.90541116005873,1655,1287.894252911169,-1039.4004970743385,0
-38.553325991189425,1658,1296.603144920033,-1033.336481782909,0
-38.201240822320116,1672,1313.93033278576,-1034.0072923270427,0
-30.4553671071953,4260,3672.2233763769696,-2159.253452930093,0
-30.103281938325992,4260,3685.4226691963604,-2136.6468471353837,0
-29.751196769456683,4250,3689.8009105623437,-2108.997212044933,0
-29.399111600587375,4242,3695.7212751827815,-2082.3564190986503,0
-29.047026431718066,4227,3695.334269091644,-2052.323960703312,0
-28.694941262848758,4210,3692.9638375868785,-2021.4148743579572,0
-28.34285609397945,4200,3696.514494825023,-1993.9359542243342,0
-27.99077092511014,4184,3694.5690806164007,-1963.6739313219196,0
