,angle,dist,x,y
0,-4.0,2719.0,2712.0,-192.0
1,-4.0,2703.0,2697.0,-174.0
2,-3.0,2701.0,2696.0,-158.0
3,-3.0,2700.0,2696.0,-141.0
4,-3.0,2704.0,2701.0,-125.0
5,-2.0,2707.0,2705.0,-108.0
6,-2.0,2704.0,2702.0,-91.0
