,angle,dist,x,y
0,-9.0,907.0,897.0,-136.0
1,-8.0,895.0,886.0,-129.0
2,-8.0,892.0,883.0,-123.0
3,-8.0,889.0,881.0,-117.0
4,-7.0,889.0,882.0,-112.0
5,-7.0,887.0,881.0,-106.0
6,-7.0,888.0,882.0,-101.0
7,-6.0,887.0,882.0,-95.0
8,-6.0,888.0,883.0,-90.0
9,-5.0,890.0,886.0,-85.0
10,-5.0,889.0,885.0,-79.0
11,-5.0,890.0,887.0,-74.0
12,-4.0,889.0,886.0,-68.0
13,-4.0,891.0,889.0,-63.0
14,-4.0,894.0,892.0,-58.0
15,-3.0,896.0,894.0,-52.0
16,-3.0,905.0,904.0,-47.0
