,angle,dist,x,y
0,-5.0,2401.0,2393.0,-199.0
1,-4.0,2398.0,2391.0,-184.0
2,-4.0,2398.0,2392.0,-169.0
3,-4.0,2398.0,2393.0,-155.0
4,-3.0,2399.0,2395.0,-140.0
5,-3.0,2400.0,2397.0,-125.0
