angle,dist,x,y,sample
-119.885,297,-147.9834485817022,-257.5070852343032,0
-119.5329148311307,297,-146.39827176377165,-258.41158260530983,0
-119.18082966226139,299,-145.78270186218498,-261.0524924948262,0
-118.82874449339208,297,-143.21139355575536,-260.19126956110296,0
-118.47665932452277,297,-141.60981250685867,-261.0663919423033,0
-118.12457415565346,299,-140.94566442809582,-263.69550561001716,0
-117.77248898678414,297,-138.3906689072355,-262.78702928304494,0
-117.42040381791483,297,-136.77322791608648,-263.6324792688,0
-117.06831864904552,296,-134.6955695676311,-263.5775095467203,0
-116.71623348017621,298,-133.97248503093033,-266.1867262930989,0
-116.3641483113069,298,-132.33423629718635,-267.0049623202544,0
-116.0120631424376,298,-130.69099042885188,-267.8131158489549,0
-115.65997797356829,300,-129.9088686013066,-270.41391580081165,0
-115.30789280469898,302,-129.0996852866975,-273.0151484054972,0
-114.95580763582967,304,-128.26340605258758,-275.6165790873057,0
-114.60372246696036,304,-126.56731860117658,-276.3995547429631,0
-114.25163729809105,306,-125.68794159679223,-278.99559375940214,0
-113.89955212922173,308,-124.78140758441914,-281.5911936145217,0
-113.54746696035242,308,-123.04867182897227,-282.35265956092195,0
-113.19538179148311,307,-120.91742175215293,-282.18429636819263,0
-112.8432966226138,308,-119.56932642995038,-283.84357695232063,0
-112.4912114537445,310,-118.58793160123915,-286.42084854029014,0
-112.13912628487519,313,-117.95620517759406,-289.9229788411076,0
-111.78704111600588,331,-122.8532402710036,-307.35660291413143,0
-111.43495594713657,463,-169.20091932860353,-430.9756940923182,0
-111.08287077826726,485,-174.46316938390308,-452.5346423518574,0
-110.73078560939794,500,-176.98870819655505,-467.6269850756206,0
-110.37870044052863,754,-262.5605876608652,-706.8082751405653,0
-110.02661527165932,785,-268.82844379421664,-737.5339095981823,0
-109.67453010279002,785,-264.2912172488549,-739.1719370248837,0
-109.3224449339207,786,-260.07489477006527,-741.7257236407131,0
-108.9703597650514,785,-255.1869957969129,-742.3641944329928,0
-108.61827459618209,784,-250.30108309349112,-742.9706372409513,0
-108.26618942731278,784,-245.73079763009713,-744.49471126132,0
-107.91410425844347,783,-240.84364215343348,-745.0391533565661,0
-107.56201908957416,783,-236.26082420791653,-746.5050722832337,0
-107.20993392070486,783,-231.6690847076304,-747.9428020849781,0
-106.85784875183555,786,-227.93859166807107,-752.2233700360395,0
-106.50576358296624,786,-223.3118703192268,-753.6098516968372,0
-106.15367841409692,789,-219.51136034275402,-757.849432724254,0
-105.80159324522761,791,-215.39483992028593,-761.1084436108395,0
-105.4495080763583,793,-211.24653471495455,-764.3454072413358,0
-105.09742290748899,793,-206.5456385236791,-765.6290872262141,0
-104.74533773861968,799,-203.36408240906525,-772.6862558541591,0
-104.39325256975037,810,-201.34641449710466,-784.5760774897232,0
-104.04116740088106,810,-196.52138762171455,-785.7985391989704,0
-103.68908223201176,824,-195.00208198045692,-800.5936472538907,0
-103.33699706314243,813,-187.5412878173153,-791.0734892308191,0
-102.98491189427313,824,-185.14823399980523,-802.9297176258663,0
-102.63282672540382,824,-180.21072971503767,-804.0522948761316,0
-102.28074155653451,824,-175.26642040916425,-805.1445099340602,0
-101.9286563876652,833,-172.17573481940929,-815.0119731264053,0
-101.57657121879589,835,-167.56558461677366,-818.0139209402483,0
-101.22448604992658,838,-163.11968044366432,-821.9707840622785,0
-98.4078046989721,742,-108.49359543328711,-734.0252991211939,0
-98.05571953010279,742,-103.98095656241628,-734.6781340644111,0
-97.70363436123348,742,-99.46439121832633,-735.3032264852152,0
-97.35154919236417,742,-94.94406995314027,-735.9005527792008,0
-96.99946402349487,744,-90.66388357795482,-738.4551849737146,0
-96.64737885462556,746,-86.35587676242557,-740.9849273423804,0
-96.29529368575625,759,-83.22637356456956,-754.4232040064056,0
-95.94320851688693,785,-81.28097522738727,-780.7806369692353,0
-95.59112334801762,785,-76.48153828311244,-781.2653674020427,0
-94.886953010279,7,-0.5963302815397148,-6.974553046276067,0
-94.18278267254038,7,-0.5105695123895417,-6.981355081430704,0
-93.83069750367108,934,-62.39912542033064,-931.9132734041177,0
-93.47861233480177,934,-56.671333905171785,-932.279121247177,0
-93.12652716593246,951,-51.86860137041156,-949.5844607995001,0
-92.77444199706315,951,-46.03241911308295,-949.8852648560232,0
-92.42235682819384,7,-0.29585855965226077,-6.993744899028023,0
-90.30984581497798,5394,-29.16969092796144,-5393.921127448118,0
-89.95776064610867,5394,3.976541661326294,-5393.998534215264,0
-89.60567547723936,5394,37.12262409057532,-5393.872255697258,0
-89.25359030837005,5396,70.29335859159086,-5395.542126954243,0
-88.90150513950074,5396,103.44767429860057,-5395.008302003085,0
-81.85980176211454,7,0.9911705264247469,-6.929471912602495,0
-77.98686490455214,5004,1041.5121753974136,-4894.411955332218,0
-77.63477973568283,4999,1070.4979933489326,-4883.035433645337,0
-77.28269456681352,4999,1100.4840673599742,-4876.365020944068,0
-76.93060939794421,5004,1131.5592401971967,-4874.380954123749,0
-76.5785242290749,5017,1164.5084420685482,-4879.980439341031,0
-76.22643906020559,5041,1200.1880154190537,-4896.042251415369,0
-75.87435389133628,5057,1234.1563535442756,-4904.090853053835,0
-75.52226872246696,5095,1273.7688639533123,-4933.207666541425,0
-75.17018355359765,5105,1306.6188973076303,-4934.954108925289,0
-74.81809838472834,5109,1337.9670911526684,-4930.692148470888,0
-74.46601321585904,5109,1368.2409659864961,-4922.377236559216,0
-74.11392804698973,5109,1398.4631740374095,-4913.876448473366,0
-73.7618428781204,5142,1437.8603828285077,-4936.87365844947,0
-73.4097577092511,5151,1470.740083437028,-4936.5701258031,0
-70.94516152716594,5302,1730.9596990612913,-5011.4850613591225,0
-70.59307635829663,5302,1761.72262690353,-5000.75368178199,0
-70.24099118942732,5302,1792.4190295190124,-4989.833466421312,0
-55.80549926578561,7,3.9340279427835614,-5.7899416357505835,0
-54.04507342143906,1536,901.8603007569588,-1243.3599631315815,0
-53.69298825256975,1535,908.8916165624834,-1236.988694104532,0
-53.34090308370044,1535,916.4757599226333,-1231.3801937152602,0
-52.98881791483113,1536,924.6272666924946,-1226.5237126483803,0
-52.63673274596182,1544,937.0017368491631,-1227.1771449720093,0
-52.284647577092514,1548,946.9720135411551,-1224.5603315352862,0
-51.932562408223205,1559,961.2615395233557,-1227.3782027692964,0
-51.5804772393539,1568,974.3783705609823,-1228.4994061793132,0
-51.22839207048459,1571,983.7877633868527,-1224.8275946476278,0
-50.87630690161528,1582,998.2367259427091,-1227.292727501952,0
-50.52422173274597,1591,1011.4813682607886,-1228.0824246203035,0
-50.17213656387665,1602,1026.0541612791728,-1230.2913712294715,0
-49.82005139500734,1610,1038.75646021394,-1230.075207604724,0
-49.46796622613803,1618,1051.4946528961466,-1229.7491593535701,0
-49.11588105726872,1629,1066.2314609357527,-1231.5808831379327,0
-48.763795888399414,1642,1082.3485445174822,-1234.7816115333464,0
-48.411710719530106,1648,1093.89849048171,-1232.5948614698327,0
-48.0596255506608,1666,1113.482564511578,-1239.238709260133,0
-47.70754038179149,1673,1125.7870775855297,-1237.5509912490204,0
-47.35545521292218,1686,1142.1774057195544,-1240.1720742960424,0
-41.722092511013216,7,5.224671358009767,-4.6586273945007,0
-40.31375183553598,1661,1266.5342069523797,-1074.6218416817644,0
-39.96166666666667,1658,1270.8144293788323,-1064.891865910597,0
-39.609581497797365,1658,1277.3342031969053,-1057.0625967005585,0
-39.257496328928056,1658,1283.8057430045749,-1049.1934112586066,0
-38.90541116005873,1661,1292.5633559428709,-1043.1687163990794,0
-38.553325991189425,1661,1298.949230224472,-1035.2062100370397,0
-38.201240822320116,1668,1310.7869587838802,-1031.5335906707578,0
-30.4553671071953,4257,3669.637303576704,-2157.732851906903,0
-30.103281938325992,4257,3682.8273011194615,-2135.1421662571192,0
-29.751196769456683,4257,3695.8782297091525,-2112.4708545118306,0
-29.399111600587375,4257,3708.7895965235975,-2089.7197727729736,0
-29.047026431718066,4236,3703.2022625673535,-2056.693706538734,0
-28.694941262848758,4218,3699.981346066854,-2025.2560427652882,0
-28.34285609397945,4194,3691.233759832416,-1991.0874742897279,0
-27.99077092511014,4184,3694.5690806164007,-1963.6739313219196,0
-27.638685756240818,4178,3701.250770672421,-1938.150337976085,0
-27.28660058737151,4178,3713.0908352951237,-1915.3695332356522,0
-26.9345154185022,4178,3724.790688169383,-1892.5164013362346,0
-26.582430249632893,4159,3719.3583489893826,-1861.089592631954,0
-26.230345080763584,4141,3714.578093495125,-1830.2433136952372,0
-25.878259911894276,4141,3725.754817093494,-1807.3826498294784,0
