,angle,dist,x,y
0,-7.0,1515.5,1505.5,-172.0
1,-6.0,1493.0,1485.0,-151.0
2,-5.0,1493.0,1486.0,-142.0
3,-5.0,1487.0,1481.0,-132.0
4,-5.0,1487.0,1482.0,-123.0
5,-4.0,1487.0,1483.0,-114.0
6,-4.0,1488.0,1484.0,-105.0
7,-4.0,1491.0,1488.0,-96.0
8,-3.0,1497.0,1494.0,-87.0
9,-3.0,1511.0,1509.0,-79.0
10,-3.0,1515.0,1513.0,-70.0
