,angle,dist,x,y
0,-8.0,1230.0,1219.0,-162.0
1,-7.0,1218.0,1208.0,-153.0
2,-7.0,1206.0,1197.0,-144.0
3,-7.0,1200.0,1192.0,-136.0
4,-6.0,1200.0,1193.0,-129.0
5,-6.0,1196.0,1190.0,-121.0
6,-5.0,1197.0,1192.0,-114.0
7,-5.0,1199.0,1194.0,-107.0
8,-5.0,1197.0,1193.0,-99.0
9,-4.0,1200.0,1196.0,-92.0
10,-4.0,1204.0,1201.0,-85.0
11,-4.0,1211.0,1208.0,-78.0
12,-3.0,1231.0,1229.0,-72.0
