angle,dist,x,y,sample
-119.885,2832,-1411.0744996073422,-2455.421095567497,0
-119.5329148311307,941,-463.8409889889196,-818.7383812511669,0
-119.18082966226139,941,-458.8010784358397,-821.5732288883995,0
-118.82874449339208,941,-453.7438428820397,-824.3770527171647,0
-118.47665932452277,964,-459.63588975290156,-847.3670095366343,0
-118.12457415565346,964,-454.42013548054973,-850.1754762811256,0
-117.77248898678414,964,-449.1872216382997,-852.9518391543951,0
-117.42040381791483,931,-428.7403205046347,-826.4034956203798,0
-117.06831864904552,922,-419.5584970991753,-821.0083236556626,0
-116.71623348017621,883,-396.9721620211795,-788.734494351699,0
-116.3641483113069,880,-390.78566423330193,-788.4710296705498,0
-116.0120631424376,880,-385.933126098623,-790.85752331235,0
-115.65997797356829,880,-381.0660145638327,-793.2141530157143,0
-114.25163729809105,848,-348.31168128784253,-773.1642598299771,0
-113.89955212922173,848,-343.5540052973618,-775.2900395620599,0
-113.54746696035242,847,-338.38384752967374,-776.4698137925353,0
-113.19538179148311,847,-333.6060463324871,-778.5345245076845,0
-112.8432966226138,838,-325.3217387931767,-772.2757061235218,0
-112.4912114537445,823,-314.8318313155478,-760.4011559634155,0
-112.13912628487519,818,-308.2689323810605,-757.6900852780384,0
-111.78704111600588,809,-300.2666809040541,-751.2129660348409,0
-111.43495594713657,800,-292.3558001358161,-744.6664260774396,0
-111.08287077826726,800,-287.7743000146855,-746.4488946010019,0
-110.73078560939794,800,-283.18193311448806,-748.203176120993,0
-110.37870044052863,800,-278.57887284972435,-749.9292043931728,0
-110.02661527165932,800,-273.96529303869215,-751.6269142401858,0
-109.67453010279002,782,-263.28118711924145,-736.347076119056,0
-109.3224449339207,770,-254.78074932945324,-726.6269811747444,0
-108.9703597650514,433,-140.75919640772395,-409.4824155280075,0
-108.61827459618209,431,-137.60174338430443,-408.44431715669646,0
-108.26618942731278,429,-134.46238798891795,-407.38294787130906,0
-107.91410425844347,429,-131.95647826797313,-408.20152846739063,0
-107.56201908957416,429,-129.44558567713435,-409.00469477587137,0
-107.20993392070486,429,-126.9298050313837,-409.79241646801484,0
-106.85784875183555,429,-124.40923133028306,-410.56466379829635,0
-106.50576358296624,427,-121.3157361657886,-409.40382528568637,0
-106.15367841409692,427,-118.7976563578656,-410.1415814616685,0
-105.80159324522761,427,-116.27509057643755,-410.86385009080715,0
-105.4495080763583,427,-113.74813407728323,-411.5706038991808,0
-105.09742290748899,427,-111.21688228198104,-412.2618161987306,0
-104.74533773861968,427,-108.68143077430646,-412.9374608882677,0
-104.39325256975037,427,-106.14187529662183,-413.59751245445904,0
-104.04116740088106,427,-103.59831174626187,-414.2419459727906,0
-103.68908223201176,430,-101.76079520824815,-417.7855198048216,0
-103.33699706314243,429,-98.96090095157227,-417.4299223616499,0
-102.98491189427313,429,-96.39392279844228,-418.03015638531144,0
-102.63282672540382,429,-93.82330466960093,-418.61460497798595,0
-102.28074155653451,429,-91.24914363535372,-419.18324607003865,0
-101.9286563876652,427,-88.25814978137787,-417.7792467286616,0
-101.57657121879589,426,-85.48854975658153,-417.3340482880788,0
-101.22448604992658,426,-82.92241511813963,-417.8514964326141,0
-100.87240088105727,387,-72.99687498459416,-380.0532281700598,0
-100.52031571218797,314,-57.33142394393025,-308.7217320315519,0
-100.16823054331866,310,-54.727088372331096,-305.131030539811,0
-99.81614537444935,305,-51.998586984266694,-300.5347682908579,0
-99.46406020558004,302,-49.65753030228648,-297.8894588337719,0
-99.11197503671073,297,-47.03423780527608,-293.2520766747897,0
-98.75988986784142,297,-45.231313767984524,-293.53556557054907,0
-98.4078046989721,297,-43.426681730035405,-293.8079701334159,0
-98.05571953010279,297,-41.62040983697795,-294.06928007699474,0
-97.70363436123348,296,-39.67851725151562,-293.3285108350724,0
-97.35154919236417,296,-37.875262407182646,-293.56679733509895,0
-96.99946402349487,294,-35.82685722032086,-291.808903739613,0
-96.64737885462556,290,-33.5699789022834,-288.0504409239816,0
-96.29529368575625,289,-31.68962050087036,-287.2573201025708,0
-95.94320851688693,289,-29.923824000910727,-287.4466294065083,0
-95.59112334801762,289,-28.15689753352802,-287.6250843047011,0
-95.23903817914831,289,-26.38890782045344,-287.7926780584308,0
-94.886953010279,289,-24.619921623568224,-287.94940433911194,0
-94.53486784140969,289,-22.850005742382052,-288.09525722853044,0
-94.18278267254038,295,-21.516858022130688,-294.21424986029393,0
-93.83069750367108,293,-19.57488623999666,-292.3453844833046,0
-93.47861233480177,294,-17.838728231392405,-293.45831011420773,0
-93.12652716593246,294,-16.03508812082124,-293.5623885121483,0
-92.77444199706315,294,-14.23084250183637,-293.6553815643226,0
-92.42235682819384,294,-12.426059505394953,-293.737285759177,0
-92.07027165932453,294,-10.620807282746302,-293.80809800388886,0
-91.71818649045522,294,-8.815154002858598,-293.86781562448425,0
-91.36610132158592,293,-6.985327142872014,-292.9167205959862,0
-91.0140161527166,288,-5.096735040377853,-287.9548980169085,0
-90.66193098384728,288,-3.3271540125647614,-287.9807806888798,0
-90.30984581497798,288,-1.5574473465429912,-287.99578878477155,0
-89.95776064610867,288,0.21231813097181546,-287.99992173785614,0
-89.60567547723936,289,1.9889577979562973,-288.99315570940075,0
-89.25359030837005,290,3.7778120814605916,-289.9753922936861,0
-88.90150513950074,290,5.5596415023339825,-289.9467026651028,0
-88.54941997063143,292,7.3918903690908575,-291.90642328796287,0
-88.19733480176211,298,9.374261267505233,-297.8525192535536,0
-87.8452496328928,295,11.091594149111996,-294.79141191566515,0
-87.4931644640235,298,13.034095681946253,-297.71481714848164,0
-87.14107929515419,300,14.963062908255674,-299.6266122166113,0
-86.78899412628488,300,16.80398795516563,-299.5290069238748,0
